categoryId,channelId,channelTitle,commentCount,dislikeCount,favoriteCount,likeCount,tags,title,videoId,viewCount
27,UCxX9wt5FWQUAAz4UrysqK9A,CS Dojo,2091,1137,0,77442,"['python application', 'what can you do with python', 'what is python used for', 'python applications', 'python data sciencw', 'python data science', 'python machine learning', 'python scripting', 'python data visualization']",What Can You Do with Python? - The 3 Main Applications,kLZuut1fYzQ,2612424
15,UCxmpUZtj2j93UuFALWE1q4w,JayPrehistoricPets,373,837,0,10798,"['prehistoric pets', 'prehistoricpets', 'prehistoric pets tv', 'prehistoricpetstv', 'jay brewer', 'reptiles', 'snakes', 'reptile pets', 'reptile room', 'snake eyes', 'reptile zoo', 'reticulated pythons', 'snake collection', 'professional snake handler', 'breeding pythons', '#livingthedream', 'reptile collection', 'reptile room tour', 'jay brewer snake video', 'retics', 'retic', 'eggs', 'reticulated python', 'snake eggs', 'python', 'python eggs', 'big snake', 'snake attack', 'giant snake', 'snake egg', 'snake', 'living the dream', 'breeding', 'clutch']",ANGRY RETICULATED PYTHON with EGGs at Prehistoric Pets!,4pFVZP9Yh3s,1065531
27,UCqrILQNl5Ed9Dz6CGMyvMTQ,Clever Programmer,4452,2024,0,103919,"['cleverprogrammer', 'programming', 'software development', 'python programming', 'web development', 'software', 'clever programmer', 'python tutorial', 'python for beginners', 'software engineering', 'developer', 'django tutorial', 'python django', 'python django tutorial', 'freelancing course', 'freelance', 'python full course', 'python basics', 'learn python', 'django framework tutorial', 'web development 2019', 'web development projects', 'django project', 'python projects', 'web scraping', 'web development 2020']",Python Tutorial for Beginners - Full Course in 11 Hours [2020],4F2m91eKmts,1785853
24,UCRMoZ74ttDwbGJiFL_wZgvA,Viral Press,6032,22664,0,76586,No Tags,Python Regurgitates Two-Month-Old Puppy,T6KyFR5Hrro,36836984
22,UCc4rPo2DiMzlzyYY5j_hYDA,Caters Video,6543,12673,0,155020,"['storytrender', 'catersnewsagency', 'clips', 'viral', 'python', 'snake', 'reptile', 'Honey Badger', 'Jackal', 'wildlife', 'wild', 'animal', 'nature', 'safari', 'showdown', 'unexpected', 'tourist', 'twist', 'Chobe Park', 'Botswana', 'Africa', 'African', 'squeeze', 'squeezing', 'sneaky', 'pair', 'triple', 'epic', 'hungry', 'lucky', 'prey', 'desperate', 'escape', 'coils']","Python, Honey Badger &amp; Jackal Fight Each Other",JgKN3BuvC3E,42087402
1,UCrKhoJu5EeWXBK5jpEj6uvw,Cinecurry Hollywood,408,1886,0,13284,"['Frayne Rosanoff', 'hollywood movies 2016 full movies', 'hollywood movies 2016', 'python movie in hindi', 'python movies full', 'hollywood movies', 'Hollywood Full Movies', 'english movies', 'full english movies', 'hollywood classics full movies', 'english classic movies full length', 'python movie part 1', 'python movie', 'python 2000 full movie online free', 'python 2000 full movie download', 'python 2000 full movie', 'python 2000 full length english movie', 'hollywood action movie new', 'frayne rosanoff movie']","Python (2000) | Action Horror Movie | Frayne Rosanoff, Robert Englund",iZz4GhPRgxo,3258589
15,UCbmlE5h93rJIoHSC4iZ6IZQ,Reptile Channel,6317,18584,0,33597,"['Reptile Channel', 'reptile', 'health', 'zoology', 'master of zoology', 'thesis', 'education', 'science', 'university', 'snake', 'Online degree program', 'bachelor degree accreditation', 'masters degree accreditation', 'online masters degree', 'online college', 'online courses', 'snake eating', 'snake eats', 'eats', 'eating', 'anaconda', 'animal planet', 'feeding', 'department of botany and zoology', 'rabbit', 'python', 'african rock python', 'snake tries to enter house']",African Rock Python tries to Enter Home--Eats Rabbit Instead (Time Lapse X5),417ANPkqMug,10463008
27,UCeVMnSShP_Iviwkknt83cww,CodeWithHarry,8233,1442,0,47411,"['python tutorial in hindi', 'python tutorial', 'python hindi', 'python 3 tutorial in hindi', 'learn python in one video', 'python tutorial for beginners in hindi', 'complete python tutorial in hindi', 'python tutorials in hindi', 'python tutorial in hindi for beginners', 'python tutorial in hindi in one video', 'python tutorial in hindi code with harry', 'python tutorial hindi video', 'python hindi tutorial youtube', 'python', 'python3', 'python lectures', 'python crash course hindi', 'learn python in hindi']",Python Tutorial In Hindi 🔥,ihk_Xglr164,1302979
26,UC1AgWV7PLk_uVDkh35VVf9w,Kian Brose,1930,158,0,11641,"['How to', 'tutorial', 'bot', 'bots', 'python', 'image', 'recognition', 'image recognition', 'pyautogui', '15', 'minutes', 'smart image recognition', 'kian', 'brose', 'how to make', 'smart bots', 'in 15 minutes', 'short', 'botting tutorial', 'smart botting', 'bot tutorial', 'python bot tutorial', 'python botting tutorial', 'python image recognition', 'python smart bot', 'python bot', 'how to make python bot', 'how to make a python bot', 'python bot tutorial fast', 'how to make smart bot with python', 'machine learning', 'computer vision tutorial']",How to make advanced image recognition bots using python,YRAIUA-Oc1Y,209092
27,UCVbz7l0COUdLupcY4YtYH0w,Sergey Nemchinskiy,1220,348,0,7962,"['#ityoutubersru', 'программирование', 'Языки программирования', 'выбор языка программирование', 'программист', 'начало программирование', 'разработка', 'develop', 'как стать программистом', 'IT', 'IT курсы', 'немчинский', 'fo', 'python']",Моё мнение про Python,1bhvP1CZI5A,177756
